FAC1_1,FAC2_1,FAC3_1,FAC4_1,FAC5_1,FAC6_1,FAC7_1,FAC8_1,FAC9_1,FAC10_1,FAC11_1,FAC12_1,FAC13_1,FAC14_1,FAC15_1,FAC16_1,FAC17_1,FAC18_1,FAC19_1,y
1.277650487,0.06556413,0.817475708,0.767718106,-0.259776548,0.665332718,-0.041179659,0.495202057,-0.317841322,-0.509292221,-1.127156395,-0.083746433,-0.434799775,0.160600417,-0.577446991,0.805322941,1.067078634,-1.141706884,-0.416948508,0
0.504149835,-1.182254204,0.436707913,-0.711217524,1.209226445,-0.9942635,0.492442468,1.536879358,-0.707192083,0.521827816,0.018707745,-0.229324903,0.289553627,-0.432614498,-0.476679942,-0.805188071,0.943532392,-0.396475973,-0.529736064,0
1.340908495,-0.051626872,0.851215785,-0.825802677,-0.225264084,-1.435579268,-0.231976431,0.770137187,-0.508993804,1.241283432,0.319756436,-0.382705254,-0.476756986,-0.161511445,-0.364915661,0.122123546,0.533647839,0.038564543,0.129823297,1
0.044871016,1.140415299,-0.418513859,-1.507522282,-0.173003554,0.403579267,-0.141503561,-1.167646761,0.509368217,0.293817951,-0.277797825,1.456073973,-0.068149434,2.544018959,-0.05682704,-3.968927106,1.131846638,0.492842811,-0.196270294,0
2.337884283,0.91864203,-0.433857389,-0.208594901,-0.624893472,-0.501330746,0.02478151,-0.908283747,1.283615054,-0.917265698,-1.767823936,-0.821296357,-0.369630814,-0.939237073,-0.799597146,-0.42516155,-0.925051137,-2.238062375,1.277950642,1
4.65374955,0.245421362,0.014405926,2.069936933,0.648282678,0.237534356,1.215056489,1.248562645,-0.216995066,-3.915947607,-0.501333754,0.909812179,0.656055111,0.544945528,-0.817829428,-0.95363775,-2.302874559,2.39347168,0.659239959,0
0.632162573,-0.799830166,-1.233736285,-0.502477588,-0.122717005,0.151911331,-0.003120885,1.313342371,-0.370457091,-0.92653613,-0.558504943,0.255606179,-0.311013268,-0.542532626,-0.477723983,-0.952486351,-0.804559212,1.106703131,-0.072021651,0
0.194779115,0.498808883,-0.550176311,1.042682692,-0.06461064,-0.74270947,0.16486145,0.902398502,1.380772102,0.561909454,0.184122521,0.0576125,-1.084366715,-0.819632784,-0.225213529,-2.565689478,-0.157121699,0.53120216,-1.506326288,0
0.622899295,0.199718338,-1.395969445,2.258713189,-0.372710244,-0.064842925,0.143670586,-1.203031244,-1.224104306,1.35529747,1.882346122,-0.193365431,-0.680012626,1.088385988,-0.53135157,-0.042039315,0.178121576,0.438467173,-0.986839225,1
0.494765935,2.057673175,-0.035177219,1.119613522,0.717459015,-0.767772719,-0.11158718,0.757529193,1.184528471,2.211963492,0.308982143,1.072728886,1.225887352,-0.267698528,-0.209838656,0.119032059,-0.832727119,0.107906381,-1.680955616,0
-0.993838647,1.068461695,-1.116037902,0.041451633,0.063190674,-1.554927734,-0.333146679,1.522010732,0.168815498,0.120202259,0.023554157,-0.26643774,-0.137907945,0.882905667,-0.272949573,0.512473737,-1.185313602,-0.099267467,0.275972279,0
0.527711239,0.03705849,0.94602067,0.34415332,-0.288649139,0.89058891,-0.333852026,-1.619937388,-0.229116964,0.670756314,-0.464412238,-0.084941933,0.959691902,-0.372074577,-0.181301336,-0.087580464,0.373229634,0.157418848,-1.100198415,0
-0.78232101,1.193268718,0.901592829,-0.734834616,0.024772211,1.049256003,0.901814908,0.584450016,0.444468713,-0.950608242,-1.324083635,-0.749150578,-0.144969739,1.734980669,0.435899908,0.122767555,-0.775990322,-1.553163039,-0.810970415,0
0.00122946,-0.30395542,-1.12963744,-0.904796559,-0.286013493,-1.496110947,-0.797090535,0.288085019,0.07816424,-0.926360573,0.275752117,-0.079700608,-0.518509023,-1.144203548,0.363890192,-2.325656229,1.142278986,-0.689646166,-0.707823753,0
-0.434525913,0.10014027,-1.24230118,0.888281815,0.053854005,1.304268035,-0.771956758,-0.949476735,1.062473943,0.217142594,0.511819524,-0.873611068,1.253998626,2.021698612,0.225546218,-1.123788647,-0.304680388,-0.103617103,0.801799705,0
0.585350945,-0.052426153,0.975478883,1.643448213,-0.173062941,0.588533062,-0.289175484,-0.307744766,-0.306931397,-0.126980616,-0.188373365,-0.342454928,-0.881416545,-0.024844671,-0.503264495,0.514807694,1.048746417,-0.138558195,1.625438335,0
